"totalrent";"livingspace";"balcony";"yearconstructed";"haskitchen";"floor";"interiorqual"
2267;106;"ja";2016;"ja";5;3
1057;84;"ja";1972;"nein";2;3
1118;93;"ja";1983;"ja";2;3
332;18;"nein";1950;"nein";0;1
749;67;"ja";1954;"nein";3;1
1505;125;"ja";1907;"ja";3;3
1233;96;"ja";1971;"nein";1;3
1496;118;"ja";1904;"nein";4;3
1012;64;"ja";2013;"nein";2;3
449;25;"nein";1907;"ja";2;3
871;49;"ja";2012;"ja";4;3
1871;93;"nein";2015;"nein";0;3
888;71;"nein";1955;"nein";1;2
668;66;"ja";1954;"nein";3;1
558;45;"ja";1954;"nein";2;2
564;51;"ja";1954;"nein";1;2
1151;91;"ja";1983;"ja";2;3
582;34;"nein";1963;"ja";6;3
651;52;"ja";1959;"nein";4;2
951;51;"nein";1920;"ja";4;2
1487;116;"ja";1904;"nein";4;3
1192;57;"ja";1950;"ja";1;3
1027;82;"ja";1910;"ja";3;3
1273;42;"ja";1984;"ja";2;3
622;49;"ja";1954;"nein";1;2
672;54;"ja";1964;"nein";0;2
2099;99;"nein";1987;"nein";1;4
1311;98;"ja";2005;"ja";3;3
975;67;"ja";1959;"nein";1;3
897;52;"nein";1920;"ja";4;2
978;67;"ja";2013;"nein";2;3
1103;101;"ja";1914;"ja";3;3
599;54;"ja";1972;"ja";1;2
520;40;"nein";1938;"ja";3;2
679;44;"ja";1940;"nein";0;2
1562;107;"ja";2012;"nein";4;3
749;52;"nein";1950;"nein";4;2
1136;66;"nein";1972;"ja";1;3
553;31;"ja";1972;"ja";3;2
767;63;"ja";1954;"ja";2;3
1656;133;"nein";1972;"nein";0;2
775;63;"ja";1912;"nein";3;2
1291;91;"ja";1972;"nein";2;3
1090;79;"ja";1966;"nein";0;2
1420;79;"ja";2011;"ja";1;3
970;64;"nein";1972;"ja";1;3
996;78;"ja";2012;"nein";0;3
1103;69;"nein";1956;"ja";4;3
940;61;"ja";1960;"nein";4;3
891;73;"ja";1978;"nein";1;3
2624;114;"ja";2005;"nein";0;3
1205;68;"ja";2019;"ja";2;4
917;77;"ja";1954;"nein";3;2
1028;66;"nein";1955;"nein";1;3
486;39;"nein";1963;"nein";0;2
1330;94;"ja";1965;"nein";2;3
1140;69;"ja";2002;"ja";0;3
785;85;"nein";1972;"ja";1;2
2912;140;"ja";2008;"ja";2;3
1312;95;"ja";2001;"nein";3;3
536;33;"nein";1991;"ja";3;2
1059;79;"ja";2018;"nein";6;3
1924;64;"ja";2017;"ja";2;3
685;54;"nein";1960;"nein";1;3
1933;106;"ja";1955;"nein";5;4
801;58;"ja";1954;"ja";2;3
1479;106;"nein";1924;"nein";0;3
751;63;"ja";1912;"nein";3;2
1445;125;"ja";1956;"nein";2;3
793;67;"nein";1954;"nein";4;2
1500;125;"nein";1972;"nein";0;2
988;63;"ja";1960;"ja";4;4
574;50;"ja";1954;"nein";1;2
708;62;"nein";1960;"nein";1;3
873;77;"ja";1997;"nein";1;2
859;56;"nein";1950;"nein";4;2
1849;89;"ja";1955;"nein";5;4
1238;129;"nein";1972;"nein";4;2
1075;73;"nein";1972;"nein";2;2
1310;99;"ja";1965;"ja";1;3
1130;85;"nein";1972;"nein";2;2
1292;89;"ja";1972;"nein";2;3
1430;93;"ja";1957;"ja";4;2
1679;110;"ja";1958;"nein";2;3
1400;84;"ja";2001;"nein";3;3
993;57;"ja";1960;"ja";4;4
620;42;"ja";1955;"ja";1;2
937;68;"nein";1955;"nein";1;2
860;47;"ja";2018;"nein";2;3
702;73;"ja";1967;"nein";3;2
1268;109;"ja";1949;"ja";3;2
1251;87;"ja";2001;"nein";3;3
1479;97;"ja";1960;"nein";2;3
540;25;"nein";1960;"nein";1;3
1850;136;"ja";1958;"ja";1;3
489;32;"nein";1903;"nein";0;2
1934;62;"ja";2017;"ja";2;3
3359;117;"ja";2018;"ja";3;4
977;77;"ja";1955;"nein";3;3
1004;76;"ja";1979;"nein";2;3
1041;68;"ja";1994;"nein";2;3
1234;84;"ja";2004;"ja";2;3
1288;121;"ja";1904;"nein";4;3
1416;96;"ja";2017;"nein";1;3
833;39;"ja";1972;"ja";3;4
1152;74;"ja";1955;"nein";3;3
1548;105;"ja";1907;"ja";1;3
591;39;"ja";1972;"nein";6;3
1750;124;"ja";1986;"ja";3;3
1456;84;"ja";2011;"ja";1;3
1486;66;"ja";1972;"ja";0;2
1011;106;"ja";1949;"ja";3;2
913;80;"nein";1953;"nein";6;2
1065;73;"ja";1954;"nein";5;3
1125;81;"ja";2012;"nein";0;3
803;31;"nein";1959;"nein";4;3
473;39;"ja";1972;"nein";6;3
730;74;"ja";1954;"nein";3;2
1028;75;"ja";1912;"ja";4;3
1885;110;"ja";2018;"ja";5;3
925;80;"ja";1956;"nein";1;2
795;66;"ja";1915;"nein";2;2
1871;94;"nein";2014;"nein";0;3
1109;82;"nein";2005;"ja";5;3
1573;106;"ja";2009;"nein";3;3
1343;125;"ja";1995;"ja";3;3
1660;96;"ja";1972;"nein";6;3
1697;94;"nein";2015;"nein";0;3
1653;82;"ja";2011;"ja";1;3
1553;93;"ja";1956;"nein";3;3
2876;200;"ja";1989;"nein";1;4
949;67;"ja";1994;"nein";2;3
1786;114;"ja";2017;"ja";1;4
2408;155;"ja";1992;"ja";2;3
1593;93;"nein";1952;"nein";1;3
593;54;"nein";1909;"nein";2;3
1546;94;"ja";2019;"nein";2;3
648;49;"ja";1954;"nein";0;2
777;66;"nein";1972;"nein";2;2
1691;85;"ja";1936;"ja";2;3
1126;82;"ja";1972;"nein";5;3
1447;129;"ja";1910;"ja";4;3
652;59;"ja";1964;"nein";0;2
686;73;"nein";1972;"nein";1;2
2844;198;"ja";1908;"nein";2;3
1314;138;"ja";1995;"ja";3;3
1744;117;"ja";2017;"ja";1;4
1369;104;"ja";1936;"nein";1;2
1462;109;"ja";1956;"nein";2;3
1409;95;"ja";1965;"nein";2;3
1412;115;"ja";2019;"nein";1;3
546;47;"ja";1954;"nein";2;2
1146;88;"nein";2018;"nein";2;3
1567;93;"ja";2017;"nein";1;3
966;58;"ja";2020;"nein";1;3
661;73;"ja";1967;"nein";3;2
812;78;"ja";1965;"nein";1;2
1586;102;"ja";2019;"ja";0;3
1034;79;"ja";1969;"nein";3;2
1637;124;"ja";1930;"ja";0;3
1939;110;"ja";1930;"ja";0;3
813;71;"ja";1971;"nein";10;3
2118;109;"ja";1996;"ja";2;4
805;69;"ja";1969;"nein";6;2
1074;74;"ja";1955;"nein";3;3
402;23;"nein";1907;"ja";2;3
897;73;"ja";1969;"nein";6;2
758;58;"ja";1907;"nein";2;2
1053;75;"ja";2018;"nein";6;3
1168;78;"ja";1963;"nein";1;3
1695;111;"ja";2012;"nein";4;3
848;62;"ja";1980;"nein";1;1
587;35;"nein";1975;"ja";1;3
1676;104;"ja";1907;"ja";1;3
2995;129;"ja";2018;"ja";3;4
1032;61;"ja";1960;"ja";4;4
1141;83;"ja";2005;"nein";1;3
610;51;"ja";1959;"nein";4;2
499;25;"nein";1960;"nein";1;3
1495;125;"ja";1956;"nein";2;3
1881;61;"ja";2017;"ja";2;3
1580;82;"ja";1936;"ja";2;3
778;62;"ja";1954;"ja";2;3
999;70;"ja";1972;"nein";3;2
1161;59;"ja";1960;"ja";4;4
741;66;"ja";1935;"nein";4;2
946;69;"nein";1903;"nein";1;3
1307;93;"ja";1965;"nein";2;3
2889;174;"ja";2012;"ja";0;3
736;58;"ja";1999;"nein";5;3
913;84;"ja";1995;"ja";3;3
1605;100;"ja";1956;"nein";3;3
1411;96;"ja";1956;"nein";3;3
1180;95;"ja";1971;"nein";1;3
1396;76;"nein";2013;"nein";2;4
1598;94;"ja";2018;"nein";4;3
535;47;"nein";1972;"ja";1;2
534;53;"nein";1914;"ja";3;2
1095;64;"ja";2020;"nein";0;3
822;72;"ja";1969;"nein";6;2
603;44;"nein";1960;"nein";5;3
624;22;"ja";2018;"ja";2;3
628;36;"ja";1972;"nein";6;3
763;47;"ja";1999;"ja";3;3
1701;93;"ja";1972;"nein";6;3
807;65;"nein";1972;"nein";1;2
3089;196;"ja";1989;"nein";1;4
421;25;"nein";1993;"ja";3;2
971;67;"ja";1994;"nein";2;3
516;36;"nein";1991;"ja";3;2
1585;90;"ja";1957;"ja";4;2
1053;47;"nein";2018;"ja";0;3
1106;82;"ja";2005;"nein";1;3
1672;110;"ja";1905;"ja";1;3
736;24;"nein";2020;"ja";0;3
943;61;"ja";1994;"nein";2;3
966;86;"ja";1969;"nein";3;2
1098;102;"nein";1996;"nein";4;2
597;39;"ja";1972;"nein";6;3
1126;83;"ja";2003;"nein";5;2
590;38;"ja";1955;"ja";1;2
1875;105;"ja";2016;"nein";4;3
1018;72;"ja";1968;"ja";3;4
743;29;"nein";1959;"nein";4;3
788;76;"ja";1972;"nein";4;3
1085;63;"nein";1972;"ja";1;3
801;60;"nein";1972;"nein";2;2
1227;64;"ja";1953;"ja";4;2
997;44;"nein";2018;"ja";1;3
2193;129;"ja";1900;"ja";0;3
486;48;"ja";1954;"nein";1;2
1183;94;"ja";1985;"ja";1;2
779;51;"nein";1920;"ja";4;2
1635;107;"ja";2019;"nein";1;3
730;64;"nein";1960;"nein";1;3
781;52;"ja";1984;"ja";6;3
1687;109;"ja";2012;"nein";4;3
752;59;"ja";1907;"nein";2;2
879;70;"ja";1972;"ja";0;3
605;54;"ja";1964;"nein";1;2
1713;92;"ja";2018;"nein";4;3
2422;128;"ja";1900;"ja";0;3
610;24;"nein";1963;"ja";5;3
1612;116;"ja";2019;"nein";1;3
1696;76;"ja";1936;"ja";2;3
1084;70;"nein";1936;"ja";3;2
1523;101;"ja";2016;"ja";3;3
901;81;"ja";1929;"nein";2;2
781;56;"ja";1907;"nein";2;2
815;72;"ja";1971;"nein";10;3
961;70;"ja";1959;"nein";1;3
587;59;"ja";1964;"nein";1;2
514;32;"nein";1991;"ja";3;2
849;70;"ja";1969;"nein";6;2
952;67;"ja";1994;"nein";2;3
559;27;"ja";1972;"ja";1;2
1421;89;"ja";2005;"ja";3;3
1047;65;"ja";1994;"nein";2;3
575;26;"ja";1972;"ja";1;2
1435;101;"ja";1972;"nein";3;3
1258;73;"ja";2003;"nein";1;3
693;26;"nein";2020;"ja";0;3
621;50;"ja";1954;"nein";1;2
1082;53;"nein";1959;"nein";5;3
763;66;"ja";1935;"nein";4;2
853;80;"ja";1965;"nein";1;2
616;60;"ja";1956;"nein";4;2
1469;109;"ja";1905;"ja";1;3
593;33;"nein";1972;"ja";4;2
1065;79;"ja";1981;"nein";1;2
825;28;"ja";1972;"ja";4;3
2545;158;"ja";2010;"ja";4;3
1850;126;"ja";2009;"nein";1;3
628;34;"nein";1963;"ja";6;3
1010;76;"ja";1954;"nein";3;2
1579;93;"ja";1910;"nein";2;3
916;55;"ja";1984;"ja";6;3
1068;68;"nein";1972;"nein";2;2
2113;127;"ja";2015;"ja";0;3
756;52;"ja";1899;"ja";0;3
691;87;"nein";1972;"nein";0;2
3325;125;"ja";2018;"ja";3;4
1743;96;"ja";1955;"nein";5;4
1063;67;"ja";2020;"nein";0;3
964;85;"ja";1969;"nein";0;2
1162;81;"ja";1972;"nein";1;3
1083;81;"ja";1910;"ja";3;3
671;56;"nein";1960;"nein";2;2
1116;89;"ja";1983;"ja";2;3
604;33;"nein";1963;"ja";6;3
1024;63;"nein";1972;"nein";5;3
1409;85;"ja";2002;"ja";0;3
441;26;"nein";1993;"ja";3;2
1071;89;"ja";1957;"nein";1;3
1133;90;"ja";1985;"ja";1;2
793;73;"ja";1969;"nein";6;2
870;67;"ja";1994;"nein";2;3
1171;67;"ja";1972;"ja";3;3
785;52;"nein";1919;"ja";3;2
631;42;"ja";1955;"ja";1;2
2360;124;"ja";1900;"ja";0;3
1338;80;"ja";2020;"nein";5;3
1553;81;"ja";1936;"ja";2;3
2158;145;"ja";1992;"ja";2;3
750;67;"ja";1970;"nein";0;3
1038;60;"ja";2020;"nein";1;3
667;58;"nein";1921;"nein";1;3
537;26;"nein";1960;"nein";1;3
708;45;"ja";1972;"ja";2;3
1454;86;"ja";2014;"ja";0;4
2175;102;"nein";1987;"nein";1;4
3007;151;"ja";2014;"ja";0;4
922;71;"ja";1973;"nein";1;3
1140;80;"nein";1972;"ja";2;3
1303;84;"ja";1972;"nein";1;3
892;38;"ja";1972;"ja";3;4
732;65;"ja";1912;"nein";3;2
1189;136;"nein";1972;"nein";4;2
1980;120;"ja";2018;"ja";5;3
749;65;"ja";1970;"nein";0;3
1102;103;"ja";1949;"ja";3;2
1314;76;"ja";2015;"nein";0;3
1647;90;"ja";1955;"nein";3;4
806;65;"nein";1954;"nein";4;2
1330;94;"nein";2016;"nein";3;3
790;45;"ja";2012;"ja";4;3
3024;145;"ja";2014;"ja";0;4
1137;73;"ja";2003;"nein";5;2
3233;111;"ja";2018;"ja";3;4
1752;100;"ja";2019;"nein";2;3
1131;61;"ja";2017;"ja";4;3
1519;115;"ja";1930;"ja";0;3
560;34;"nein";1972;"ja";4;2
919;71;"ja";1972;"ja";0;3
1176;56;"ja";2016;"ja";1;4
1512;110;"ja";1952;"nein";1;2
1079;72;"ja";1954;"nein";5;3
1437;101;"nein";1930;"ja";3;2
577;24;"nein";1963;"ja";5;3
824;60;"ja";1912;"nein";3;2
538;26;"nein";1972;"ja";0;2
978;66;"ja";1994;"nein";2;3
900;84;"ja";1969;"nein";0;2
1815;116;"ja";2015;"nein";0;3
932;68;"ja";1915;"nein";2;2
1562;92;"ja";1972;"ja";4;3
766;76;"ja";1972;"nein";4;3
670;55;"ja";1959;"nein";4;2
949;77;"ja";1955;"nein";3;3
2198;113;"ja";2016;"ja";5;3
1606;107;"ja";2019;"nein";1;3
699;54;"ja";1966;"nein";2;2
810;66;"ja";1976;"nein";4;3
901;67;"ja";1978;"nein";1;3
693;61;"ja";1965;"nein";1;2
487;29;"nein";1960;"ja";2;2
960;64;"ja";1992;"ja";2;3
569;45;"nein";1972;"ja";1;2
1044;68;"ja";1972;"nein";3;2
1140;87;"ja";1910;"ja";3;3
888;51;"ja";1996;"ja";1;3
602;46;"nein";1960;"nein";5;3
1031;61;"nein";1972;"nein";2;3
1438;93;"nein";1930;"ja";3;2
2292;137;"ja";2019;"nein";1;3
1851;106;"ja";1996;"ja";2;4
1038;58;"nein";1959;"nein";5;3
1120;61;"ja";2018;"ja";1;3
423;26;"nein";1907;"ja";2;3
1079;75;"ja";2003;"nein";1;3
2022;103;"nein";1972;"nein";3;3
584;52;"nein";1968;"nein";2;2
2206;95;"nein";2014;"nein";0;3
1354;67;"ja";2017;"ja";0;4
973;68;"ja";1954;"nein";5;3
856;74;"ja";1954;"nein";5;3
589;25;"nein";1972;"ja";3;3
930;79;"nein";1953;"nein";6;2
909;86;"ja";1956;"nein";1;2
1009;57;"ja";1960;"ja";4;4
586;27;"ja";1972;"ja";1;2
996;78;"ja";1989;"ja";2;3
859;66;"ja";1960;"nein";4;3
1173;77;"ja";1972;"nein";1;3
1416;128;"nein";1990;"nein";1;2
767;54;"ja";2000;"ja";2;3
536;40;"nein";1963;"nein";0;2
660;56;"nein";1921;"nein";1;3
1199;67;"ja";1972;"ja";3;3
786;28;"nein";1959;"nein";4;3
1028;70;"ja";1911;"ja";0;2
884;82;"ja";1969;"nein";0;2
1025;90;"ja";1984;"nein";1;2
1708;108;"ja";2019;"nein";2;3
772;50;"ja";2012;"ja";4;3
1381;68;"ja";2017;"ja";0;4
493;23;"nein";1907;"ja";2;3
742;82;"nein";1972;"ja";1;2
1719;148;"ja";1972;"nein";1;2
1031;63;"ja";1972;"ja";0;3
1399;109;"ja";1907;"ja";1;3
1319;90;"ja";1965;"nein";2;3
1153;84;"ja";1997;"nein";4;2
987;74;"ja";1954;"nein";3;2
1916;101;"ja";1955;"nein";5;4
1861;116;"ja";2018;"ja";5;3
1475;95;"ja";2016;"ja";3;3
2459;145;"ja";2010;"ja";4;3
518;42;"nein";1972;"nein";4;2
447;43;"ja";1958;"nein";3;2
1732;108;"ja";2017;"ja";1;4
542;48;"nein";1983;"nein";1;2
1002;78;"ja";2018;"nein";6;3
497;40;"ja";1972;"nein";6;3
542;32;"ja";1972;"ja";3;2
1394;91;"nein";1930;"ja";3;2
738;55;"ja";2000;"ja";2;3
1551;99;"ja";1965;"nein";2;3
1062;84;"ja";1910;"ja";3;3
1823;90;"nein";1952;"nein";1;3
1012;72;"ja";1954;"nein";3;2
1361;94;"ja";1956;"nein";3;3
753;62;"nein";1951;"nein";0;3
1126;74;"ja";1975;"ja";4;3
1149;85;"ja";2002;"ja";0;3
640;57;"ja";1954;"ja";2;3
546;43;"nein";1938;"ja";3;2
587;52;"ja";1954;"nein";1;2
1346;79;"ja";2014;"ja";0;4
1661;118;"ja";1999;"ja";3;3
1449;95;"ja";1910;"nein";2;3
1004;78;"ja";1966;"nein";0;2
1726;91;"ja";1972;"nein";6;3
841;30;"nein";1959;"nein";4;3
728;64;"nein";1972;"nein";1;2
1241;84;"ja";1955;"nein";4;3
1413;82;"ja";2014;"ja";0;4
1108;81;"ja";1959;"nein";4;3
2300;106;"nein";1987;"nein";1;4
1639;106;"ja";1905;"ja";1;3
1982;108;"nein";1972;"nein";3;3
680;71;"nein";1972;"nein";1;2
975;73;"ja";1966;"nein";0;2
1248;89;"ja";1988;"nein";5;3
940;76;"ja";1959;"nein";1;3
958;57;"ja";2018;"ja";6;3
597;44;"nein";1960;"nein";5;3
584;57;"nein";1909;"nein";2;3
902;53;"nein";1930;"ja";3;3
340;18;"nein";1950;"nein";0;1
618;33;"ja";1959;"ja";4;2
1582;111;"ja";2009;"nein";0;3
631;60;"nein";1960;"nein";1;3
522;22;"nein";1957;"ja";5;3
812;58;"ja";1999;"nein";5;3
1007;61;"nein";1972;"nein";2;3
1332;92;"ja";1959;"nein";4;2
1201;83;"ja";2013;"nein";1;3
772;26;"nein";2020;"ja";0;3
1235;74;"ja";1911;"ja";0;2
1663;115;"ja";1904;"nein";4;3
1143;74;"nein";1956;"ja";4;3
1125;88;"ja";2004;"ja";2;3
1127;99;"ja";1992;"nein";1;3
903;56;"ja";1984;"ja";6;3
504;41;"nein";1938;"ja";3;2
826;51;"ja";2000;"ja";2;3
779;31;"ja";1972;"ja";4;3
639;52;"ja";1972;"ja";1;2
873;68;"ja";1994;"nein";2;3
607;39;"ja";1972;"nein";6;3
1057;84;"nein";2005;"ja";5;3
1051;57;"ja";2018;"ja";6;3
372;18;"nein";1950;"nein";0;1
1585;139;"ja";1910;"ja";4;3
952;71;"ja";1955;"nein";3;3
673;44;"ja";1940;"nein";0;2
1513;105;"ja";1905;"ja";1;3
1318;90;"ja";2001;"nein";3;3
1324;101;"ja";2018;"nein";1;3
545;51;"ja";1954;"nein";1;2
1162;39;"ja";2020;"ja";0;3
1333;79;"ja";1955;"nein";1;3
852;76;"ja";1965;"nein";1;2
928;78;"ja";1950;"ja";2;3
1124;73;"ja";1981;"nein";1;2
661;54;"ja";1964;"nein";0;2
889;72;"ja";1969;"nein";6;2
751;72;"ja";1972;"nein";4;3
690;64;"nein";1954;"nein";4;2
1041;74;"nein";1972;"ja";2;3
1577;110;"nein";1904;"ja";1;2
1457;73;"nein";2013;"nein";2;4
1080;85;"ja";1984;"nein";1;2
1102;41;"ja";1984;"ja";2;3
1773;96;"ja";1972;"nein";6;3
1154;79;"ja";1910;"ja";3;3
865;69;"ja";1956;"nein";3;2
1382;96;"ja";1965;"ja";1;3
1797;108;"ja";2019;"ja";0;3
511;25;"nein";1960;"nein";1;3
976;83;"ja";2018;"nein";6;3
1023;63;"ja";2013;"nein";2;3
1330;97;"ja";1972;"nein";1;3
843;29;"ja";1972;"ja";4;3
1732;113;"ja";1958;"nein";2;3
1160;55;"ja";1950;"ja";1;3
1162;84;"ja";2002;"ja";0;3
642;52;"nein";1968;"nein";2;2
1243;76;"ja";2017;"ja";0;4
513;31;"nein";1961;"ja";1;2
1071;61;"ja";2020;"nein";0;3
1035;59;"ja";1985;"ja";2;3
1619;100;"ja";2012;"nein";4;3
858;67;"ja";1992;"ja";2;3
2507;146;"ja";2008;"ja";2;3
1366;98;"ja";1929;"nein";5;3
1231;98;"ja";1971;"nein";1;3
790;58;"ja";1972;"nein";4;2
1101;103;"ja";1958;"nein";1;2
618;54;"nein";1968;"nein";2;2
939;80;"ja";1955;"nein";3;3
722;54;"nein";1935;"ja";2;2
1472;85;"ja";1936;"nein";3;3
1073;53;"ja";2019;"nein";1;4
849;52;"ja";1984;"ja";6;3
646;62;"ja";1966;"nein";2;2
842;90;"nein";1903;"nein";2;2
748;60;"ja";1954;"ja";2;3
473;42;"ja";1958;"nein";3;2
1121;94;"ja";1985;"ja";1;2
486;32;"nein";1903;"nein";0;2
1620;127;"ja";1980;"ja";0;2
1948;116;"ja";1986;"ja";3;3
2422;118;"ja";1972;"nein";5;3
917;91;"ja";1981;"nein";0;2
1867;122;"ja";2015;"nein";0;3
590;56;"ja";1964;"nein";1;2
1530;127;"ja";1980;"ja";0;2
1983;118;"ja";2019;"nein";2;3
1744;113;"ja";2016;"nein";4;3
760;62;"ja";1999;"nein";5;3
391;27;"nein";1960;"ja";2;2
996;87;"ja";2019;"nein";1;3
1860;99;"ja";2019;"nein";2;3
967;53;"ja";2018;"ja";0;3
1061;92;"ja";1984;"nein";1;2
1315;72;"ja";2015;"nein";0;3
670;42;"ja";1955;"ja";1;2
865;75;"ja";1969;"nein";6;2
607;45;"nein";1960;"nein";5;3
1350;98;"ja";1992;"nein";1;3
854;55;"ja";1984;"ja";6;3
718;59;"nein";1921;"nein";1;3
1012;89;"ja";1929;"ja";4;3
1318;88;"ja";1936;"nein";3;3
602;53;"ja";1966;"nein";2;2
1029;76;"ja";1995;"ja";3;3
1025;95;"ja";1963;"nein";0;2
995;72;"ja";1950;"ja";4;3
915;73;"ja";1954;"nein";5;3
763;62;"ja";1912;"nein";3;2
1084;85;"ja";1959;"nein";4;3
508;37;"nein";1957;"nein";1;3
1911;63;"ja";2017;"ja";2;3
868;71;"ja";1980;"nein";1;1
1712;122;"ja";2015;"nein";0;3
816;68;"nein";1972;"nein";1;2
595;29;"nein";1961;"ja";1;2
995;93;"ja";1984;"nein";1;2
629;27;"ja";1972;"ja";1;2
958;71;"ja";1972;"nein";3;3
1407;102;"ja";1907;"ja";1;3
1121;104;"ja";1958;"nein";1;2
641;54;"ja";1959;"nein";4;2
807;51;"nein";1950;"nein";4;2
1051;78;"ja";2018;"nein";3;3
1184;51;"ja";1900;"ja";0;4
1882;101;"ja";1996;"ja";2;4
1381;132;"ja";1995;"ja";3;3
1724;105;"ja";2019;"ja";0;3
827;63;"nein";1972;"nein";5;2
786;54;"nein";1950;"nein";4;2
632;58;"ja";1969;"nein";0;2
1529;101;"ja";1960;"nein";3;3
1620;79;"ja";1936;"ja";2;3
1077;102;"ja";1958;"nein";1;2
618;51;"nein";1965;"nein";4;2
2726;116;"ja";1972;"nein";5;3
517;41;"nein";1938;"ja";3;2
998;96;"ja";1981;"nein";4;2
1223;61;"nein";1959;"ja";1;2
787;61;"ja";1972;"nein";4;2
1050;50;"ja";1900;"ja";0;4
2222;100;"nein";1987;"nein";1;4
784;50;"ja";2012;"ja";4;3
910;67;"ja";1959;"nein";1;3
1041;59;"ja";2020;"nein";0;3
1366;94;"ja";1957;"ja";4;2
1075;90;"ja";1984;"nein";1;2
1329;107;"ja";1957;"ja";3;2
1134;78;"nein";1972;"ja";2;3
563;35;"ja";1972;"nein";1;2
937;78;"ja";2000;"ja";3;3
1057;72;"ja";1954;"nein";3;2
605;35;"ja";1958;"ja";5;2
679;62;"ja";1965;"nein";1;2
1162;90;"ja";1972;"nein";2;3
547;34;"ja";1972;"ja";3;2
1446;84;"ja";2020;"nein";5;3
1596;99;"ja";1972;"ja";4;3
1125;90;"ja";2019;"nein";1;3
613;56;"nein";1909;"nein";2;3
578;47;"nein";1972;"ja";1;2
977;81;"ja";1959;"nein";4;3
1468;96;"ja";1960;"nein";3;3
1705;93;"nein";2015;"nein";0;3
1075;91;"ja";1967;"nein";1;2
1876;144;"ja";2019;"nein";1;3
1094;85;"ja";2005;"nein";1;3
1099;73;"ja";1972;"ja";3;3
798;68;"ja";1955;"ja";4;2
1024;73;"ja";2000;"ja";3;3
735;75;"ja";1967;"nein";3;2
1476;100;"nein";1924;"nein";0;3
1256;86;"ja";2002;"ja";0;3
541;39;"ja";1955;"ja";1;2
1296;93;"ja";1929;"nein";5;3
1442;138;"ja";1910;"ja";4;3
663;60;"ja";1954;"ja";2;3
1204;75;"ja";1955;"nein";1;3
1466;95;"ja";1958;"nein";2;3
1340;111;"ja";1936;"nein";1;2
629;51;"ja";1972;"ja";1;2
1663;82;"ja";1936;"ja";2;3
750;68;"ja";1915;"nein";2;2
1223;39;"ja";1984;"ja";2;3
1000;70;"ja";1954;"nein";5;3
1246;95;"ja";1988;"nein";5;3
870;61;"ja";2020;"nein";0;3
1557;106;"ja";1936;"nein";1;2
1298;75;"ja";1958;"ja";2;3
1883;105;"ja";2010;"nein";0;3
1181;83;"ja";2019;"nein";1;3
1704;161;"ja";1972;"nein";1;2
1081;82;"ja";1972;"nein";1;3
849;56;"ja";1912;"nein";3;2
1174;88;"ja";1985;"ja";1;2
1810;132;"ja";1959;"ja";0;2
639;84;"nein";1972;"nein";0;2
1651;143;"ja";1959;"ja";0;2
1635;118;"ja";2015;"nein";0;3
830;70;"ja";1972;"nein";3;2
729;50;"ja";1972;"ja";2;3
1535;81;"ja";1936;"ja";2;3
1214;94;"ja";1971;"nein";1;3
508;40;"ja";1972;"nein";6;3
1103;89;"ja";1988;"nein";5;3
656;54;"ja";1964;"nein";0;2
1941;130;"ja";2019;"nein";1;3
488;28;"nein";1961;"ja";1;2
1347;127;"nein";1990;"nein";1;2
1035;72;"ja";2008;"nein";3;2
1324;91;"ja";1965;"nein";2;3
998;92;"ja";1984;"nein";1;2
1297;68;"ja";1953;"ja";4;2
1192;92;"ja";1992;"nein";1;3
1453;113;"ja";1957;"ja";3;2
633;35;"ja";1958;"ja";5;2
941;79;"ja";1979;"nein";2;3
804;82;"ja";1972;"nein";3;3
561;35;"ja";1972;"nein";1;2
1056;77;"ja";1966;"nein";0;2
1252;83;"ja";2001;"nein";3;3
2081;132;"ja";1900;"ja";0;3
1240;67;"ja";2017;"ja";0;4
363;19;"nein";1950;"nein";0;1
1632;140;"ja";1959;"ja";0;2
1099;78;"ja";1959;"nein";4;3
1650;96;"ja";1910;"nein";2;3
1592;67;"ja";1972;"ja";4;3
601;54;"ja";1972;"ja";1;2
1903;95;"nein";2015;"ja";0;3
3545;126;"ja";2018;"ja";3;4
1319;84;"ja";1963;"nein";1;3
1055;101;"nein";1996;"nein";4;2
1482;93;"ja";1972;"nein";6;3
936;62;"nein";1972;"nein";2;3
868;52;"ja";1999;"ja";3;3
1638;110;"ja";2015;"nein";0;3
1432;94;"ja";1965;"nein";2;3
1780;97;"ja";1960;"nein";2;3
1545;105;"ja";1972;"ja";3;3
1065;82;"nein";2005;"ja";5;3
790;72;"ja";1961;"nein";1;2
1637;133;"ja";1980;"ja";0;2
597;53;"ja";1972;"ja";1;2
1095;86;"ja";1963;"nein";1;3
596;49;"ja";1969;"nein";0;2
1263;39;"ja";2020;"ja";0;3
840;66;"nein";1951;"nein";0;3
623;59;"ja";1956;"nein";4;2
1776;93;"ja";1972;"nein";6;3
516;44;"nein";1983;"nein";1;2
616;44;"ja";1970;"nein";3;3
1116;70;"ja";2020;"nein";0;3
771;31;"ja";1972;"ja";4;3
926;64;"nein";1972;"nein";5;2
915;64;"ja";1971;"nein";10;3
791;72;"ja";1955;"ja";4;2
804;53;"ja";2000;"ja";2;3
1403;117;"ja";1930;"ja";0;3
1089;42;"ja";2020;"ja";0;3
